"Source:","C:\MyKicad\Projects\LED_DRIVER_with_fan_IS31LT3117\LED_Driver_ISSI_ALU_IS31LT3117.sch"
"Date:","1/31/2020 7:18:58 PM"
"Tool:","Eeschema (5.1.2)-2"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","84"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, ","1","10u 50V","CP","Capacitor_SMD:CP_Elec_5x5.3","Polarized capacitor",""
"C2, ","1","0.1/50V","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor",""
"C3, ","1","33u/VE-330M1HTR-0607","CP","Capacitor_SMD:CP_Elec_6.3x7.7","Polarized capacitor",""
"C4, ","1","1u/10V","C","Capacitor_SMD:C_1206_3216Metric","Unpolarized capacitor",""
"D3, D4, D5, D6, D7, D8, D9, D10, D11, D12, D2, D1, D13, D14, D15, D18, D19, D20, D21, D22, D23, D24, D25, D26, D27, D17, D16, D28, D29, D30, D33, D34, D35, D36, D37, D38, D39, D40, D41, D42, D32, D31, D43, D44, D45, D48, D49, D50, D51, D52, D53, D54, D55, D56, D57, D47, D46, D58, D59, D60, ","60","LED","LED-Device-LED_Driver_ISSI_ALU-rescue","Kicad_mylib:JK3030AWT-00-0000-000A0UJ465E","",""
"D61, D62, D63, D64, D65, D68, D67, D66, ","8","CREE_LED","LED","footprints:CREE_XP-C_LED","Light emitting diode",""
"H1, H2, H3, H4, ","4","MountingHole","MountingHole","MountingHole:MountingHole_4.3mm_M4","Mounting Hole without connection",""
"H5, ","1","throughHole","MountingHole","MountingHole:MountingHole_8.4mm_M8","Mounting Hole without connection",""
"IC1, ","1","IS31LT3117-ZLS4-TR","IS31LT3117-ZLS4-TR","SamacSys_Parts:SOP65P640X120-17N","LED Lighting Drivers 60V 350MA, 4-channel",""
"J1, ","1","43045-0809","43045-0809","SamacSys_Parts:43045-0809","Molex MICRO-FIT 3.0 Series, Series Number 43045, 3mm Pitch 8 Way 2 Row Right Angle PCB Header, Solder Termination, 5A",""
"R1, ","1","22K","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R2, ","1","6.8K","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R3, R4, ","2","220","R","Resistor_SMD:R_0805_2012Metric","Resistor",""
"TH1, ","1","Thermistor_NTC","Thermistor_NTC-Device-LED_Driver_ISSI_ALU-rescue","Resistor_SMD:R_0603_1608Metric","",""
